,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
189,GREEDYFP,169,3.657973681381541e-05,5.700615139504051e-05,0.002402869535712648,0.0033381360768548374,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204550,390,3,0.0009352665411421894,2.04264145812251e-05
190,GREEDYFP,169,0.00022269559885718131,0.00021749662998420352,0.004445556528319362,0.00630344161946546,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204610,400,4,0.0018578850911460977,5.198968872977791e-06
191,GREEDYFP,169,0.02891934590207224,0.02832928708960117,0.08610059816537957,0.09354192780021377,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204630,400,5,0.007441329634834196,0.0005900588124710705
192,GREEDYFP,169,0.003069353439010484,0.0038943804358700287,0.019076215298543173,0.021839981458657988,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204649,400,6,0.0027637661601148146,0.0008250269968595445
193,GREEDYFP,169,5.6834098588539376e-05,0.00019799626671598792,0.002819153420931603,0.00484143716175437,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204708,400,7,0.002022283740822767,0.00014116216812744856
194,GREEDYFP,169,5.1767254075059136e-05,4.35817162463007e-05,0.002808919265453439,0.0028624129656492038,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204727,400,8,5.3493700195764594e-05,8.185537828758434e-06
195,GREEDYFP,169,0.0001185953347059952,9.162955975373424e-05,0.0032726814970507685,0.0037353697517019955,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204746,400,9,0.0004626882546512269,2.696577495226097e-05
84,GREEDYFP,529,9.588837289624571e-06,1.8437022690710208e-05,0.0011847003871489,0.0016352646119558,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190047,400.0,0,0.0004505642248069,8.848185401085637e-06
85,GREEDYFP,529,2.182581357065363e-05,6.397608681600236e-05,0.0012930507972372,0.0019458400640392,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190115,400.0,1,0.0006527892668019,4.2150273245348726e-05
86,GREEDYFP,529,1.6428127893287218e-05,3.491051375171745e-05,0.0014274543354399,0.0018825566473901,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190143,399.0,2,0.0004551023119501,1.848238585843023e-05
196,GREEDYFP,529,1.2705298525666771e-05,4.1303607536897405e-05,0.001155697178543288,0.001564446554788948,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204808,400,3,0.00040874937624566,2.8598309011230632e-05
197,GREEDYFP,529,1.4856304895846204e-05,4.142533718443059e-05,0.0013469816693183958,0.0017867114981257736,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204836,400,4,0.0004397298288073778,2.6569032288584386e-05
198,GREEDYFP,529,1.582682656539234e-05,3.052786959089223e-05,0.0014937239929124812,0.0019363889463451579,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204904,400,5,0.0004426649534326767,1.4701043025499888e-05
199,GREEDYFP,529,2.0943210400998886e-05,6.926468029996917e-05,0.001353021733153175,0.0020450024230393455,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204931,400,6,0.0006919806898861706,4.832146989897028e-05
200,GREEDYFP,529,1.2932355417422936e-05,3.9069163302210894e-05,0.0012797576234155638,0.001932248024196612,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204957,400,7,0.0006524904007810483,2.613680788478796e-05
201,GREEDYFP,529,1.038041655167754e-05,2.405119724929103e-05,0.0010649775284411586,0.0013943722661622798,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205024,400,8,0.00032939473772112117,1.367078069761349e-05
202,GREEDYFP,529,1.6411597206236987e-05,5.038312873039366e-05,0.0014017181368523785,0.00217413016910945,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205054,400,9,0.0007724120322570717,3.3971531524156676e-05
87,GREEDYFP,1849,3.32736447937642e-06,3.337875443243371e-06,0.00082004287065,0.0008097005150519,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190317,400.0,0,1.0342355598094363e-05,1.0510963866951144e-08
88,GREEDYFP,1849,4.062927042585221e-06,4.5064520514884295e-06,0.000961719162715,0.001022711590506,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190511,400.0,1,6.099242779106348e-05,4.435250089032084e-07
89,GREEDYFP,1849,3.092436215650674e-06,3.32637298358065e-06,0.0008579964767582,0.0008942043391851,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_190707,400.0,2,3.620786242690681e-05,2.3393676792997533e-07
203,GREEDYFP,1849,3.846396662137399e-06,3.96076449591838e-06,0.0008702686332799927,0.0008686232820445131,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205221,400,3,1.6453512354796e-06,1.1436783378098112e-07
204,GREEDYFP,1849,3.0383398450156674e-06,3.0460975812698558e-06,0.0008317578231720887,0.0008540790569839077,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205414,400,4,2.2321233811819032e-05,7.757736254188398e-09
205,GREEDYFP,1849,4.507370284574957e-06,4.490396295837536e-06,0.0009814775679764403,0.0010088661110714385,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205609,400,5,2.738854309499816e-05,1.6973988737421047e-08
206,GREEDYFP,1849,3.0626035549771585e-06,3.1055481293249525e-06,0.0008305578259901983,0.0008546538708507644,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_205806,400,6,2.4096044860566035e-05,4.294457434779401e-08
