index,method,n,mse_run,mse_method,mae_run,mae_method,me_run,me_method,hp,uid,epochs,fold,mae_diff,mse_diff,bias_method,bias_run
24,Random,121,0.0001499653161178,8.118444558926117e-05,0.0041608888576915,0.0031605486950784,-0.0010243056492398,-0.002030603700261,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130556,400,4,0.001000340162613,6.878087052855902e-05,0.0507899186548038,0.0069962981456348
25,Random,121,0.0003510455744627,9.496312519530048e-05,0.005858202248504,0.0042480006173728,-0.001145935651453,-0.000210828717894,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130615,400,5,0.0016102016311312,0.0002560824492674,0.0004680632424158,0.0037407351432382
26,Random,121,0.0002017633117005,7.699820458860792e-05,0.0049232893706064,0.0037312071887,-0.00116287953041,-0.0024161562494497,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130633,400,6,0.0011920821819064,0.0001247651071119,0.0758174953941547,0.0067023523298097
27,Random,121,0.0002274424881683,5.75842526674656e-05,0.0048043132190652,0.0033007225162972,-0.0001455651439694,-0.0001760628968236,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130651,400,7,0.001503590702768,0.0001698582355008,0.0005383093849794,9.316294114388768e-05
28,Random,121,0.0002379515584852,4.8985583772334685e-05,0.0050656876125504,0.0033427944528587,-0.0003066460181112,-0.0012209231867664,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130710,400,8,0.0017228931596917,0.0001889659747129,0.0304304514346895,0.0003951719460131
29,Random,121,0.0002382139433059,4.41290080777299e-05,0.0048744651900885,0.0032855620495338,0.0007934505601387,0.0014979036029128,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130727,400,9,0.0015889031405547,0.0001940849352282,0.0508444513338522,0.0026428502993873
30,Random,169,0.0004465405796706,0.0008305405590679,0.0051643062970214,0.0079729955803633,-0.0016972593075214,-0.004753158611759,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130745,376,0,0.0028086892833418,0.0003839999793973,0.0272021836162851,0.0064511251342336
31,Random,169,0.0004677634051117,0.0011244680359202,0.0050347664851767,0.0085094698025309,-0.0014289409419606,-0.0044833778288846,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130803,400,1,0.0034747033173541,0.0006567046308084,0.0178757208870633,0.0043651816138194
32,Random,169,0.0027086804218188,0.005563671803206,0.0136672663171339,0.0205498853085456,-0.0091577559059104,-0.0177564126990543,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130822,400,2,0.0068826189914117,0.0028549913813872,0.0566694447644185,0.0309613834680155
33,Random,169,0.0002627245668815,0.000467067035048,0.004765664249347,0.0069294785984126,-0.0014488929132899,-0.0039228141512443,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130841,400,3,0.0021638143490655,0.0002043424681665,0.0329470283930837,0.0079904620230205
34,Random,169,0.0004599563125569,0.0009560533093039,0.0059793755396152,0.0092320756344721,-0.0019895767050079,-0.0049084425397794,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130900,400,4,0.0032527000948568,0.0004960969967469,0.0252002769425672,0.0086060683526764
35,Random,169,0.0003600536707153,0.0006262437827554,0.0056770294104883,0.0079041250094061,-0.0015816634991465,-0.0045120511676642,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130919,400,5,0.0022270955989178,0.00026619011204,0.0325090744215346,0.0069480181095283
36,Random,169,0.0003745687286558,0.0007086261846839,0.0052428897203519,0.0075157049226114,-0.0007901078818872,-0.0031747841210784,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130938,400,6,0.0022728152022595,0.0003340574560281,0.0142236547749735,0.0016666379685792
37,Random,169,0.0003724248344324,0.0007462731335507,0.0055074887043017,0.0084826247831047,-0.0006493193645056,-0.0039253484505318,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130957,400,7,0.002975136078803,0.0003738482991183,0.020647079152882,0.0011320824986458
38,Random,169,0.0003282108447466,0.0006289143254562,0.005080381222096,0.0073536289378821,-0.0015425097410768,-0.0043076855714132,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131016,400,8,0.002273247715786,0.0003007034807096,0.0295050601187998,0.0072494140257722
39,Random,169,0.000520342602486,0.0009365189196166,0.0059366893413938,0.0085273537973136,-0.0018415204269896,-0.0046359340071637,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131035,400,9,0.0025906644559198,0.0004161763171306,0.0229486918722093,0.0065172397317038
40,Random,529,2.341200411547516e-05,6.702621546820966e-06,0.0015580785719547,0.0011587867797183,-9.661689469039624e-05,-0.0001890468645205,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131055,400,0,0.0003992917922363,1.6709382568654194e-05,0.0053320505619191,0.0003987195753756
41,Random,529,1.406478604013836e-05,4.95316362616937e-06,0.001391845278749,0.0011461047725761,3.2820959846958514e-05,0.0001499398699142,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131121,400,1,0.0002457405061728,9.111622413968989e-06,0.0045389101363684,7.658953376194169e-05
42,Random,529,1.0256393153466212e-05,2.848354922627661e-06,0.0010673389706466,0.0008060196772282,7.923709502365464e-05,-7.981245253653156e-06,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131147,400,2,0.0002613192934183,7.408038230838551e-06,2.2363882847926945e-05,0.0006121564505028
43,Random,529,1.516740387154742e-05,8.585961485563569e-06,0.0014189699811654,0.0013162434193372,0.0003035532173694,0.0001216749793282,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131212,400,3,0.0001027265618281,6.581442385983852e-06,0.0017243031685415,0.0060751699206865
44,Random,529,1.1922284675381918e-05,3.419991874157567e-06,0.0011610724642858,0.0009375323123137,1.948006066695606e-05,0.0001150061627252,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131240,400,4,0.0002235401519721,8.502292801224351e-06,0.0038673827165303,3.182886283296474e-05
45,Random,529,9.967915688472333e-06,3.2804060253989077e-06,0.0010574455525031,0.0008941371927455,-0.0001276711079842,-4.8315724090322594e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131306,400,5,0.0001633083597575,6.687509663073425e-06,0.0007116220298029,0.001635237729064
46,Random,529,1.2596215538118938e-05,4.23999882465303e-06,0.0012550207832369,0.0010008049465418,1.402763692631206e-05,2.862447199629497e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131332,400,6,0.000254215836695,8.356216713465908e-06,0.0001932454302351,1.562172361539465e-05
47,Random,529,1.0153815390193402e-05,5.267556331305587e-06,0.0012290407990945,0.0010578484118277,-5.439353766823835e-05,-0.0001121167961292,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131358,400,7,0.0001711923872668,4.886259058887815e-06,0.0023863391644419,0.000291383763282
48,Random,529,1.680366050721969e-05,4.134993093234303e-06,0.0013151333028741,0.000960642632226,-0.0001709353696383,-0.0001110655087143,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131424,400,8,0.0003544906706481,1.2668667413985389e-05,0.0029832086651285,0.0017388414018974
49,Random,529,1.4322762216320816e-05,6.342795661980719e-06,0.0012856984549414,0.0010687467004209,-0.0001825342543427,-0.0002805154962587,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131450,400,9,0.0002169517545205,7.979966554340098e-06,0.0124060347888837,0.002326279910624
50,Random,1849,3.3397538870231645e-06,3.9807550699735615e-06,0.0008774290384066,0.0009368441348755,-0.0001997521557229,-0.0002673204335385,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131517,400,0,5.941509646888458e-05,6.410011829503969e-07,0.0179514220119325,0.0119472646984615
51,Random,1849,2.5415440463104253e-06,2.7049922937881792e-06,0.0007255574311652,0.000757702569315,-1.1003992794932049e-07,-5.592468546808631e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131611,400,1,3.214513814981334e-05,1.634482474777539e-07,0.0011562215729363,4.764342274795528e-09
52,Random,1849,2.895324873608908e-06,2.4775042980230043e-06,0.0007978025400354,0.0008116137026706,-4.5974065679865725e-05,-5.36374058150271e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131704,400,2,1.3811162635214832e-05,4.178205755859031e-07,0.0011612376635881,0.0007300095178963
53,Random,1849,3.7521243835499354e-06,4.299928189782352e-06,0.0008731363639151,0.0009364582771624,-0.0003360708957292,-0.0004344951030611,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131759,400,3,6.332191324727357e-05,5.478038062324171e-07,0.0439044528773115,0.0301012534263054
54,Random,1849,5.654935876181029e-06,7.101980841419482e-06,0.0010907697129485,0.00119195094746,-6.422898102000537e-05,-4.497530474181113e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131852,400,4,0.0001011812345114,1.4470449652384536e-06,0.0002848188529067,0.0007295152576786
55,Random,1849,3.014478052159687e-06,3.375201051438176e-06,0.0007894714377323,0.0008504082413016,3.403656170839904e-05,-8.16042632525019e-06,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_131945,400,5,6.0936803569277566e-05,3.6072299927848875e-07,1.972995291094176e-05,0.0003843078346845
56,Random,1849,4.59154860812106e-06,4.747131201249921e-06,0.0010147001884598,0.0010488375673488,-0.0003112121835475,-0.0003244447093301,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132039,400,6,3.4137378888986864e-05,1.5558259312886138e-07,0.0221743122213667,0.0210937597430931
57,Random,1849,6.643143076094918e-05,7.247833289712033e-05,0.0041137466380033,0.0042788369360534,0.0014922081609492,0.0017183497642397,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132133,188,7,0.0001650902980501,6.046902136171148e-06,0.0407394292091974,0.0335185494290506
