index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
32,Grid - sparse,169,0.00018399798953708628,0.00010597052018168874,0.004177687482513288,0.0039690551626274835,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121236,400,2,0.00020863231988580474,7.802746935539754e-05
33,Grid - sparse,169,0.00020049494404653732,0.00012012190763703444,0.005313777497314595,0.00426883476369657,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121257,400,3,0.001044942733618025,8.037303640950288e-05
34,Grid - sparse,169,0.031968589736738856,0.029040872813961335,0.08672890297970547,0.08294769425334399,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121317,145,4,0.003781208726361479,0.0029277169227775214
35,Grid - sparse,169,0.00020703895296019797,0.00011155519096832786,0.004820247109738413,0.0038860465985308605,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121325,400,5,0.0009342005112075529,9.548376199187011e-05
36,Grid - sparse,169,0.00018481146142259295,8.128817853022162e-05,0.004233118892148331,0.003492443521561133,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121345,400,6,0.0007406753705871982,0.00010352328289237133
37,Grid - sparse,169,0.00017776587333961826,3.508351319407465e-05,0.004800100854930967,0.002608757494125884,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121411,400,7,0.002191343360805083,0.0001426823601455436
38,Grid - sparse,169,0.0001627178590676203,2.8183775024916814e-05,0.00427123189915919,0.0025342405957524705,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121433,400,8,0.0017369913034067197,0.0001345340840427035
39,Grid - sparse,169,0.00016519943208017192,6.746184387295129e-05,0.004719531236160001,0.0034690421947927426,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121453,400,9,0.0012504890413672586,9.773758820722063e-05
40,Grid - sparse,529,4.30314443885713e-05,7.211316943894935e-06,0.0021790069976988366,0.001274588731992771,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121513,400,0,0.0009044182657060656,3.5820127444676366e-05
41,Grid - sparse,529,3.954421873516323e-05,1.3580629341480493e-05,0.0019576847404194245,0.0012821167998156345,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121541,400,1,0.0006755679406037899,2.5963589393682733e-05
42,Grid - sparse,529,2.918237852173542e-05,3.6164476771831017e-06,0.0016193574717287354,0.0008391085512361641,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121608,400,2,0.0007802489204925713,2.5565930844552317e-05
